epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
1,0.11723572,0.12136515,0.97252747,0.97058824
2,0.09291567,0.09864212,0.97252747,0.97058824
3,0.08437959,0.09173129,0.97252747,0.97058824
4,0.07988075,0.08857011,0.97435897,0.97058824
5,0.07705020,0.08681845,0.97435897,0.97058824
6,0.07512386,0.08579581,0.97435897,0.97058824
7,0.07366257,0.08519821,0.97435897,0.97058824
8,0.07249692,0.08479009,0.97435897,0.97058824
9,0.07159700,0.08450677,0.97619048,0.97058824
10,0.07085247,0.08431047,0.97619048,0.97058824
11,0.07022864,0.08426497,0.97619048,0.97058824
12,0.06969849,0.08422486,0.97435897,0.97058824
13,0.06924916,0.08419654,0.97435897,0.97058824
14,0.06886260,0.08424459,0.97435897,0.97058824
15,0.06853643,0.08434405,0.97435897,0.97058824
16,0.06824517,0.08446619,0.97435897,0.97058824
17,0.06798943,0.08460798,0.97435897,0.97058824
18,0.06776245,0.08480374,0.97435897,0.97058824
19,0.06756053,0.08498858,0.97435897,0.97058824
20,0.06738086,0.08524163,0.97435897,0.97058824
21,0.06721955,0.08540073,0.97619048,0.97058824
22,0.06707119,0.08558998,0.97619048,0.97058824
23,0.06693882,0.08583278,0.97619048,0.97058824
24,0.06681708,0.08614661,0.97619048,0.97058824
25,0.06670696,0.08645109,0.97619048,0.97058824
26,0.06660137,0.08657059,0.97619048,0.97058824
27,0.06650646,0.08671194,0.97619048,0.97058824
28,0.06641956,0.08694525,0.97619048,0.97058824
29,0.06633878,0.08713184,0.97619048,0.97058824
30,0.06626338,0.08734039,0.97619048,0.97058824
31,0.06619527,0.08752787,0.97619048,0.97058824
32,0.06613115,0.08777090,0.97619048,0.97058824
33,0.06607061,0.08793873,0.97619048,0.97058824
34,0.06601456,0.08811809,0.97619048,0.97058824
35,0.06596160,0.08832440,0.97619048,0.97058824
36,0.06591184,0.08856121,0.97619048,0.97058824
37,0.06586545,0.08877104,0.97619048,0.97058824
38,0.06582248,0.08893648,0.97619048,0.97058824
39,0.06578147,0.08908340,0.97619048,0.97058824
40,0.06574230,0.08929127,0.97619048,0.97058824
41,0.06570640,0.08953217,0.97619048,0.97058824
42,0.06567237,0.08965725,0.97619048,0.97058824
43,0.06564077,0.08982168,0.97619048,0.97058824
44,0.06561046,0.08995238,0.97619048,0.97058824
45,0.06558023,0.09003519,0.97619048,0.97058824
46,0.06555350,0.09013956,0.97619048,0.97058824
47,0.06552777,0.09025324,0.97619048,0.97058824
48,0.06550363,0.09043613,0.97619048,0.97058824
49,0.06548086,0.09059425,0.97619048,0.97058824
50,0.06545911,0.09077325,0.97619048,0.97058824
51,0.06543874,0.09090487,0.97619048,0.97058824
52,0.06541974,0.09106679,0.97619048,0.97058824
53,0.06540024,0.09118506,0.97619048,0.97058824
54,0.06538334,0.09133038,0.97619048,0.97058824
55,0.06536501,0.09136076,0.97619048,0.97058824
56,0.06535000,0.09153195,0.97619048,0.97058824
57,0.06533352,0.09159098,0.97619048,0.97058824
