epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
1,0.68074971,0.68818081,0.62454212,0.55882353
2,0.63008254,0.63846044,0.85531136,0.80882353
3,0.58626693,0.59528896,0.91575092,0.86764706
4,0.54821688,0.55764408,0.93772894,0.94117647
5,0.51499462,0.52464329,0.94871795,0.94117647
6,0.48581401,0.49554585,0.95054945,0.94117647
7,0.46002682,0.46973953,0.95787546,0.94117647
8,0.43710249,0.44672174,0.96336996,0.95588235
9,0.41660751,0.42608035,0.96703297,0.97058824
10,0.39818690,0.40747659,0.96703297,0.97058824
11,0.38154882,0.39063082,0.96703297,0.97058824
12,0.36645198,0.37531088,0.96703297,0.97058824
13,0.35269566,0.36132290,0.96886447,0.97058824
14,0.34011190,0.34850393,0.96703297,0.97058824
15,0.32855921,0.33671620,0.96703297,0.97058824
16,0.31791768,0.32584252,0.96703297,0.97058824
17,0.30808509,0.31578260,0.96703297,0.97058824
18,0.29897382,0.30645019,0.96703297,0.97058824
19,0.29050835,0.29777069,0.96703297,0.97058824
20,0.28262326,0.28967928,0.96703297,0.97058824
21,0.27526161,0.28211938,0.96703297,0.97058824
22,0.26837364,0.27504137,0.96703297,0.97058824
23,0.26191564,0.26840160,0.96703297,0.97058824
24,0.25584909,0.26216146,0.96703297,0.97058824
25,0.25013991,0.25628673,0.96703297,0.97058824
26,0.24475783,0.25074695,0.96703297,0.97058824
27,0.23967590,0.24551492,0.96886447,0.97058824
28,0.23487000,0.24056628,0.96886447,0.97058824
29,0.23031856,0.23587916,0.96886447,0.97058824
30,0.22600213,0.23143386,0.96886447,0.97058824
31,0.22190323,0.22721259,0.96886447,0.97058824
32,0.21800602,0.22319924,0.96886447,0.97058824
33,0.21429618,0.21937921,0.97069597,0.97058824
34,0.21076069,0.21573921,0.97069597,0.97058824
35,0.20738770,0.21226713,0.97069597,0.97058824
36,0.20416641,0.20895192,0.97069597,0.97058824
37,0.20108694,0.20578344,0.97069597,0.97058824
38,0.19814025,0.20275244,0.97069597,0.97058824
39,0.19531806,0.19985039,0.97069597,0.97058824
40,0.19261273,0.19706945,0.97069597,0.97058824
41,0.19001726,0.19440241,0.97069597,0.97058824
42,0.18752516,0.19184260,0.97069597,0.97058824
43,0.18513047,0.18938386,0.97069597,0.97058824
44,0.18282765,0.18702049,0.97069597,0.97058824
45,0.18061159,0.18474720,0.97069597,0.97058824
46,0.17847753,0.18255908,0.97069597,0.97058824
47,0.17642107,0.18045158,0.97069597,0.97058824
48,0.17443811,0.17842045,0.97069597,0.97058824
49,0.17252481,0.17646173,0.97069597,0.97058824
50,0.17067763,0.17457173,0.97069597,0.97058824
