epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
1,0.07661825,0.08716990,0.97435897,0.97058824
2,0.07079539,0.08499131,0.97619048,0.97058824
3,0.06871350,0.08592668,0.97619048,0.97058824
4,0.06732712,0.08540297,0.97435897,0.97058824
5,0.06663929,0.08518720,0.97619048,0.97058824
6,0.06628353,0.08560494,0.97619048,0.97058824
7,0.06597499,0.08864905,0.97619048,0.97058824
8,0.06576116,0.09013381,0.97619048,0.97058824
9,0.06561944,0.08984908,0.97802198,0.97058824
10,0.06560652,0.08988942,0.97802198,0.97058824
11,0.06537585,0.09153470,0.97619048,0.97058824
12,0.06531210,0.09130750,0.97802198,0.97058824
13,0.06530326,0.09073514,0.97619048,0.97058824
14,0.06532010,0.09112039,0.97802198,0.97058824
15,0.06527652,0.09186057,0.97802198,0.97058824
16,0.06520773,0.09198320,0.97802198,0.97058824
17,0.06512505,0.09193064,0.97619048,0.97058824
18,0.06510966,0.09261561,0.97619048,0.97058824
19,0.06509145,0.09297989,0.97802198,0.97058824
20,0.06508523,0.09443318,0.97619048,0.97058824
21,0.06506982,0.09341966,0.97802198,0.97058824
22,0.06510419,0.09351028,0.97802198,0.97058824
23,0.06506165,0.09471458,0.97802198,0.97058824
24,0.06545481,0.09635663,0.97802198,0.97058824
25,0.06555022,0.09704814,0.97802198,0.97058824
26,0.06504987,0.09438398,0.97802198,0.97058824
27,0.06515731,0.09363553,0.97619048,0.97058824
28,0.06502473,0.09488084,0.97619048,0.97058824
29,0.06503418,0.09446721,0.97619048,0.97058824
30,0.06502633,0.09484581,0.97619048,0.97058824
31,0.06501487,0.09458708,0.97619048,0.97058824
32,0.06504838,0.09566885,0.97619048,0.97058824
33,0.06505950,0.09495574,0.97802198,0.97058824
34,0.06503292,0.09491779,0.97619048,0.97058824
35,0.06502761,0.09532420,0.97619048,0.97058824
36,0.06505577,0.09627911,0.97619048,0.97058824
37,0.06503973,0.09664834,0.97619048,0.97058824
38,0.06502469,0.09582092,0.97619048,0.97058824
