epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
1,2.82071921,2.45539838,0.31916667,0.52666667
2,1.84118948,1.70730393,0.72333333,0.80000000
3,1.15687961,1.15621644,0.83833333,0.79333333
4,0.74870624,0.76616809,0.90333333,0.88000000
5,0.51149370,0.57653173,0.94583333,0.90666667
6,0.36508428,0.50113913,0.95750000,0.91333333
7,0.26293290,0.41101455,0.97333333,0.92000000
8,0.19661230,0.40037244,0.98833333,0.91333333
9,0.15105141,0.35714931,0.99250000,0.92666667
10,0.13186596,0.34230836,0.99250000,0.92000000
