index,subject,rep,predicted_label,predicted_class,true_label,true_class
68,s002,26,0,s002,0,s002
41,s003,27,1,s003,1,s003
58,s004,21,0,s002,2,s004
5,s005,43,3,s005,3,s005
28,s007,35,4,s007,4,s007
13,s008,1,0,s002,5,s008
2,s010,3,16,s021,6,s010
54,s011,30,7,s011,7,s011
10,s012,16,8,s012,8,s012
1,s013,18,9,s013,9,s013
11,s015,41,10,s015,10,s015
25,s016,19,11,s016,11,s016
60,s017,44,12,s017,12,s017
4,s018,40,13,s018,13,s018
6,s019,16,14,s019,14,s019
14,s020,45,15,s020,15,s020
9,s021,21,16,s021,16,s021
8,s022,36,17,s022,17,s022
18,s024,19,18,s024,18,s024
29,s025,15,19,s025,19,s025
3,s026,21,20,s026,20,s026
78,s027,49,21,s027,21,s027
38,s028,24,22,s028,22,s028
32,s029,34,23,s029,23,s029
47,s030,2,24,s030,24,s030
16,s031,21,25,s031,25,s031
46,s032,14,26,s032,26,s032
51,s033,46,27,s033,27,s033
15,s034,2,0,s002,28,s034
7,s035,43,29,s035,29,s035
